wavelength,CalIntensity
350.00,1.28089E-02
360.00,1.51139E-02
370.00,1.80387E-02
380.00,2.15564E-02
390.00,2.63801E-02
400.00,3.24094E-02
420.00,4.82977E-02
440.00,7.09618E-02
460.00,1.00627E-01
480.00,1.35698E-01
500.00,1.76201E-01
525.00,2.31439E-01
550.00,2.91356E-01
575.00,3.59558E-01
600.00,4.41917E-01
650.00,6.49154E-01
700.00,9.15597E-01
750.00,1.27936E00
800.00,1.96883E00
850.00,2.86473E00
900.00,4.10708E00
950.00,5.74596E00
1000.00,7.54549E00
1050.00,9.16398E00
1100.00,1.13642E01
1150.00,1.34192E01
1200.00,1.54715E01
1250.00,1.76107E01
1300.00,1.98481E01
1350.00,2.25552E01
1400.00,2.47975E01
1450.00,2.72147E01
1500.00,3.03571E01
1550.00,3.35042E01
1600.00,3.66056E01
1650.00,3.88960E01
1700.00,4.46710E01
1750.00,4.68954E01
1800.00,4.91315E01
1850.00,5.31042E01
1900.00,5.42665E01
1950.00,5.19337E01
2000.00,5.33041E01
2050.00,5.29140E01
2100.00,5.11728E01
2150.00,4.98193E01
2200.00,4.90613E01
2250.00,4.65439E01
2300.00,4.38509E01
2350.00,4.12493E01
2400.00,3.43751E01
2450.00,2.88374E01
2500.00,1.99868E01
